codigo_dane,municipio,tasa_incidencia,tasa_mortalidad
05467,MONTEBELLO,5100.3496,359.5793
13458,MONTECRISTO,676.6025,139.1972
23466,MONTELÍBANO,6663.7934,1917.7127
63470,MONTENEGRO,6978.9058,2120.5748
85162,MONTERREY,9229.8281,3317.5768
23001,MONTERÍA,12363.2826,3673.4078
19473,MORALES,1469.6457,602.412
13473,MORALES,608.9458,769.0476
18479,MORELIA,3752.7667,2349.2123
94888,MORICHAL (ANM),140.9259,0.0
70473,MORROA,4842.2599,803.3444
52473,MOSQUERA,1320.5844,464.9591
25473,MOSQUERA,11227.3846,2927.6312
15476,MOTAVITA,3667.921,2203.5476
23500,MOÑITOS,2291.249,638.961
73461,MURILLO,1521.2782,790.838
05475,MURINDÓ,3437.3603,279.2373
05480,MUTATÁ,5109.5367,2860.5921
54480,MUTISCUA,2675.7481,838.4286
15480,MUZO,6174.3794,826.4478
68432,MÁLAGA,12244.1828,2401.7488
52480,NARIÑO,7291.379,1498.7581
05483,NARIÑO,3500.9158,942.1596
25483,NARIÑO,3615.0325,829.2243
73483,NATAGAIMA,3057.177,1479.3217
05495,NECHÍ,2193.9278,1471.6344
05490,NECOCLÍ,3258.9458,2021.3498
